website,type,2nd type,3rd type
https://100percentfedup.com,bias,,
http://aheadoftheherd.com,bias,,
http://americablog.com,bias,clickbait,
http://americanlookout.com/,bias,clickbait,
http://www.americanpatriotdaily.com,bias,clickbait,bias
http://americanthinker.com,bias, ,
https://www.americasfreedomfighters.com,bias,clickbait,
https://www.ammoland.com,bias,,
http://original.antiwar.com,bias,unreliable,
https://www.centerforsecuritypolicy.org,bias,conspiracy,
https://www.charismanews.com,bias,,
https://www.conservapedia.com,bias, , 
https://conservativefiringline.com,bias,conspiracy,clickbait
http://www.conservativehq.com,bias,,
http://conservativepapers.com,bias,,
https://conservativetribune.com,bias,conspiracy,unreliable
http://countercurrentnews.com,bias,,
https://gatesofvienna.net,bias,,
http://cowgernation.com,bias,conspiracy,
https://www.dailysignal.com,bias,,
http://dailytelegraph.com.au,bias,rumor,
https://www.dailywire.com,bias,,
http://www.defenddemocracy.press,bias,political,
https://dollarvigilante.com,bias,,
https://eaglerising.com,bias,clickbait,
http://endingthefed.com,bias, ,
https://www.endtime.com,bias,clickbait,Political
http://federalistpress.com,bias,,
http://firearmscoalition.org,bias,blog,
http://freakoutnation.com,bias,,
http://freebeacon.com,bias,,
http://FreedomsPhoenix.com,bias,conspiracy,
http://www.frontpagemag.com,bias,hate,
http://gulagbound.com,bias, ,
https://www.heartland.org,bias,,
http://heresyblog.net/?ts=fENsZWFuUGVwcGVybWludEJsYWNrfHw1Y2U4NHxidWNrZXQwMTF8fGJ1Y2tldDA0NXx8fHw1YWY3ZjVjOGQ4ZjNkfHx8MTUyNjE5OTc1Mi44OTU4fGVjNWQwZTViMDhkYmFlMDcwNmMyOTk2MzNiZWEwOWJmMzJhNDU0OGF8fHx8fDF8fHwwfHx8fDF8fHx8fDB8MHx8fHx8fHx8fHwwfDF8fDB8MA%3D%3D&query=Donald%20Trump&afdToken=3B1gikPYdo2VuTr1wvTMeXL-hdAm72kUEPdSrX_LADWd-_jsi-0-GPPDn8Fsk8Z8Y3Jr6VCtXjuCw4FSlNAFJQqCxnIPXoihaska5ALFEw,bias,conspiracy,rumor
